loan_acc_num,missed_repayments,loan_amount,collateral_value,interest
LN79307711,20638.94,21916,4929.47,10.1
LN88987787,134551.04,121184,10254.5,11.8
LN78096023,490405.74,487036,116183.86,14.6
LN56862431,46195.89,52125,10310.05,9.6
LN77262680,7813.47,8635,1051.25,9.6
LN86537954,223960.99,120882,30235.8,10.5
LN96667164,427788.54,205992,9352.79,11.7
LN92673090,131207.94,203143,41480.52,12.2
LN68299085,32630.43,24132,4556.27,14.0
LN50055246,15957.78,21204,4852.63,8.2
LN32237909,87874.6,115628,12325.87,13.9
LN34767767,97148.47,172373,24594.17,12.5
LN60548614,58587.43,119349,16727.2,11.2
LN44121331,159766.82,235490,8776.88,12.7
LN65752788,273753.39,144866,31560.65,10.7
LN10459406,371825.56,241710,22492.26,8.8
LN33545211,237332.99,478851,61128.77,9.8
LN14222577,124193.67,170363,46343.34,11.1
LN39511046,11923.05,19346,5314.85,11.6
LN11011711,201715.57,487581,119145.99,8.4
LN30904012,280974.32,461331,121644.12,9.5
LN65289621,12125.5,18704,3508.09,9.9
LN98086719,453175.0,191906,39660.85,13.2
LN69885479,15881.99,18752,5130.5,12.5
LN37701991,13500.16,14274,1093.74,13.7
LN17768361,32005.97,22385,6324.78,14.7
LN65916174,1024104.33,1173703,224945.63,9.5
LN89502658,40178.08,32628,262.54,12.9
LN10826887,6907.21,19505,3212.2,8.4
LN33919907,24229.66,44202,4305.18,8.6
LN93127905,171098.3,271014,13860.13,9.8
LN58540742,7068.72,13296,1289.17,11.7
LN49828256,68667.36,190904,57140.7,8.7
LN26497552,327551.97,322503,56450.31,10.9
LN91547405,279029.49,408513,37412.83,10.5
LN27485173,398544.24,1110626,293210.27,8.7
LN32262728,20031.06,23064,3224.91,12.8
LN60473568,21852.74,22240,2150.38,10.5
LN29913140,45760.57,43554,10602.54,11.2
LN30758158,103141.53,161011,33497.83,13.8
LN71220106,594809.22,260326,76649.57,12.8
LN64910414,3088.29,4479,156.4,10.0
LN58650854,479894.47,304737,22201.73,9.0
LN14458977,354077.66,165958,34424.22,12.0
LN55395341,9061.72,9107,1417.5,14.2
LN50746171,251844.64,100100,1230.93,14.0
LN97767142,20167.88,19845,4339.93,14.6
LN62634741,140354.77,100701,21901.03,8.0
LN98931569,29827.45,21013,4253.37,8.1
LN23713728,108096.27,157700,32806.24,12.8
LN42836490,61142.29,131905,21235.44,10.7
LN34443590,146121.3,242669,72396.26,9.4
LN92392706,211990.23,250876,7872.93,12.6
LN57118044,252454.55,489412,47953.86,8.2
LN89075174,7442.66,16837,680.67,8.7
LN72606277,989119.7,1330800,243109.98,11.3
LN40932866,523425.08,227176,38559.66,12.9
LN12287508,1181137.08,584812,166582.47,11.4
LN71086052,27534.12,69998,13824.8,8.0
LN52001176,28460.43,34121,5943.77,12.4
LN85137397,1311018.56,813767,196862.57,9.2
LN87560768,1368457.36,1390291,230656.14,10.6
LN92567806,94297.01,68878,3683.28,14.2
LN14467768,262776.09,491860,107676.7,12.0
LN44409621,27545.43,17173,3821.12,9.1
LN45440516,195898.91,200948,6847.99,10.5
LN78616573,1330575.72,1927941,212339.49,10.6
LN55080626,249959.54,449075,38967.62,10.8
LN39133321,19729.63,20715,526.16,10.2
LN80654900,2028527.85,1882742,242230.2,11.5
LN27717189,11258.4,21063,4268.89,10.3
LN38613868,33583.87,84259,15892.77,8.1
LN31871320,21431.91,45420,8841.59,10.8
LN18256032,8278.51,9059,2410.95,13.2
LN74298026,652950.16,1242300,357185.05,10.3
LN50929283,64689.3,47212,8652.47,14.2
LN37698392,341250.64,977837,90578.88,8.5
LN26313841,92913.27,179878,40207.66,8.2
LN38633146,147304.43,277801,70194.35,8.4
LN52064379,64996.12,71362,7456.08,13.4
LN36817731,1210877.2,1580227,143281.32,11.6
LN19848962,7319.01,4321,1071.07,9.4
LN95409914,1261301.18,1953946,75588.05,13.9
LN88226696,101949.46,120804,5256.75,9.2
LN94210069,582432.26,254909,60666.51,12.8
LN63001638,2592.23,5573,1430.78,8.7
LN94741705,8819.02,10034,979.16,12.8
LN28845914,10795.72,10231,805.04,11.1
LN24182518,450093.95,450708,28840.98,14.5
LN46433291,2058196.53,1891939,279660.22,11.6
LN18282593,250525.44,573744,89769.19,8.8
LN57338915,19939.04,47625,12348.79,9.8
LN41617041,63083.28,70495,1889.72,13.2
LN71342892,2836057.52,1964594,237005.55,14.9
LN56819034,331654.45,528421,143369.77,13.6
LN49587447,54655.85,27744,2635.17,11.1
LN66691927,714335.68,976859,252801.06,13.5
LN84454424,118579.27,212666,2740.55,12.4
LN73387182,75618.69,172859,50898.17,8.8
LN32422403,7763.55,11512,370.38,14.1
LN49174005,213727.37,404248,82637.06,11.9
LN74665679,6452.49,6483,774.17,14.1
LN71515070,6368.05,8490,540.6,11.1
LN86327354,17805.56,19954,2310.46,9.6
LN76665881,13513.21,20643,1159.74,10.0
LN65641919,39124.12,24730,2652.02,9.0
LN66006262,659391.53,270485,25507.98,13.6
LN32329203,8445.28,5635,611.52,8.4
LN87532029,455054.33,1131728,277922.18,8.2
LN85498274,544951.91,1248558,351169.15,8.8
LN14412265,33091.37,98450,1802.41,8.2
LN95729066,152708.02,127801,28460.47,12.6
LN24958103,45821.15,34216,6832.34,13.9
LN30279172,18233.47,22855,3495.71,11.9
LN44448361,622627.92,566749,71193.44,11.7
LN63569129,659022.19,1171508,221029.21,10.9
LN27662629,10096.45,16338,773.88,11.6
LN42867807,10001.76,15558,1981.7,9.8
LN33242031,19504.48,14365,3400.36,14.0
LN78642913,37050.77,75333,2711.7,11.2
LN59245963,634277.82,983153,281080.85,12.2
LN45958468,549974.19,819266,69552.4,12.6
LN64517604,10669.86,7426,62.95,8.1
LN99686491,51198.39,67246,15285.11,11.5
LN32927541,21657.78,40369,320.89,10.4
LN91450560,1401662.02,1502951,285530.21,13.7
LN99976049,12030.55,15299,685.97,11.7
LN33070240,712447.13,328196,16911.0,12.2
