loan_acc_num,missed_repayments,loan_amount,collateral_value,interest,risk_score,risk_level
LN79307711,20638.94,21916,4929.47,10.1,41285.5,HIGH
LN88987787,134551.04,121184,10254.5,11.8,269120,HIGH
LN78096023,490405.74,487036,116183.86,14.6,980821,HIGH
LN56862431,46195.89,52125,10310.05,9.6,92399.9,HIGH
LN77262680,7813.47,8635,1051.25,9.6,15639,HIGH
LN86537954,223960.99,120882,30235.8,10.5,447929,HIGH
LN96667164,427788.54,205992,9352.79,11.7,855604,HIGH
LN92673090,131207.94,203143,41480.52,12.2,262425,HIGH
LN68299085,32630.43,24132,4556.27,14.0,65272.3,HIGH
LN50055246,15957.78,21204,4852.63,8.2,31922.5,HIGH
LN32237909,87874.6,115628,12325.87,13.9,175764,HIGH
LN34767767,97148.47,172373,24594.17,12.5,194309,HIGH
LN60548614,58587.43,119349,16727.2,11.2,117187,HIGH
LN44121331,159766.82,235490,8776.88,12.7,319565,HIGH
LN65752788,273753.39,144866,31560.65,10.7,547516,HIGH
LN10459406,371825.56,241710,22492.26,8.8,743665,HIGH
LN33545211,237332.99,478851,61128.77,9.8,474677,HIGH
LN14222577,124193.67,170363,46343.34,11.1,248395,HIGH
LN39511046,11923.05,19346,5314.85,11.6,23855.4,HIGH
LN11011711,201715.57,487581,119145.99,8.4,403438,HIGH
LN30904012,280974.32,461331,121644.12,9.5,561957,HIGH
LN65289621,12125.5,18704,3508.09,9.9,24260.3,HIGH
LN98086719,453175.0,191906,39660.85,13.2,906361,HIGH
LN69885479,15881.99,18752,5130.5,12.5,31771.9,HIGH
LN37701991,13500.16,14274,1093.74,13.7,27019.9,HIGH
LN17768361,32005.97,22385,6324.78,14.7,64020.9,HIGH
LN65916174,1024104.33,1173703,224945.63,9.5,2.04822e+06,HIGH
LN89502658,40178.08,32628,262.54,12.9,80486.7,HIGH
LN10826887,6907.21,19505,3212.2,8.4,13824.3,HIGH
LN33919907,24229.66,44202,4305.18,8.6,48472.6,HIGH
LN93127905,171098.3,271014,13860.13,9.8,342220,HIGH
LN58540742,7068.72,13296,1289.17,11.7,14152.2,HIGH
